river_level,rainfall_rate,hour_of_day,month
1.56,0.07,7,1
1.56,0.09,8,1
1.56,0.09,9,1
1.56,0.1,10,1
1.56,0.11,11,1
1.56,0.12,12,1
1.56,0.14,13,1
1.56,0.33,14,1
1.56,0.38,15,1
1.56,0.28,16,1
1.56,0.19,17,1
1.56,0.14,18,1
1.56,0.11,19,1
1.56,0.09,20,1
1.56,0.08,21,1
1.56,0.06,22,1
1.56,0.04,23,1
1.56,0.0,0,1
1.56,0.0,1,1
1.56,0.0,2,1
1.56,0.0,3,1
1.56,0.0,4,1
1.56,0.0,5,1
1.56,0.0,6,1
1.56,0.0,7,1
1.56,0.0,8,1
1.56,0.0,9,1
1.56,0.0,10,1
1.56,0.0,11,1
1.56,0.0,12,1
1.56,0.0,13,1
1.56,0.0,14,1
1.56,0.0,15,1
1.56,0.0,16,1
1.56,0.0,17,1
1.56,0.0,18,1
1.56,0.0,19,1
1.56,0.0,20,1
1.56,0.0,21,1
1.56,0.0,22,1
1.56,0.0,23,1
1.55,0.0,0,1
1.55,0.0,1,1
1.55,0.0,2,1
1.55,0.0,3,1
1.55,0.0,4,1
1.55,0.0,5,1
1.55,0.0,6,1
1.55,0.0,7,1
1.55,0.0,8,1
1.55,0.0,9,1
1.55,0.0,10,1
1.55,0.0,11,1
1.55,0.0,12,1
1.55,0.0,13,1
1.55,0.0,14,1
1.55,0.0,15,1
1.55,0.0,16,1
1.55,0.0,17,1
1.55,0.0,18,1
1.55,0.0,19,1
1.55,0.0,20,1
1.55,0.0,21,1
1.55,0.0,22,1
1.55,0.0,23,1
1.54,0.0,0,1
1.54,0.0,1,1
1.54,0.0,2,1
1.54,0.0,3,1
1.54,0.0,4,1
1.54,0.01,5,1
1.54,0.01,6,1
1.54,0.02,7,1
1.54,0.02,8,1
1.54,0.02,9,1
1.54,0.02,10,1
1.54,0.03,11,1
1.54,0.03,12,1
1.54,0.03,13,1
1.54,0.08,14,1
1.54,0.09,15,1
1.54,0.07,16,1
1.54,0.04,17,1
1.54,0.03,18,1
1.54,0.03,19,1
1.54,0.02,20,1
1.54,0.02,21,1
1.54,0.01,22,1
1.54,0.01,23,1
1.54,0.01,0,1
1.54,0.01,1,1
1.54,0.01,2,1
1.54,0.01,3,1
1.54,0.01,4,1
1.54,0.01,5,1
1.54,0.02,6,1
1.54,0.03,7,1
1.54,0.04,8,1
1.54,0.05,9,1
1.54,0.05,10,1
1.54,0.06,11,1
1.54,0.06,12,1
1.54,0.07,13,1
1.54,0.17,14,1
1.54,0.19,15,1
1.54,0.14,16,1
1.54,0.09,17,1
1.54,0.07,18,1
1.54,0.06,19,1
1.54,0.05,20,1
1.54,0.04,21,1
1.54,0.03,22,1
1.54,0.02,23,1
1.54,0.12,0,1
1.54,0.12,1,1
1.54,0.12,2,1
1.54,0.12,3,1
1.54,0.12,4,1
1.54,0.18,5,1
1.54,0.3,6,1
1.54,0.42,7,1
1.54,0.54,8,1
1.54,0.6,9,1
1.54,0.66,10,1
1.54,0.72,11,1
1.54,0.78,12,1
1.54,0.9,13,1
1.54,2.1,14,1
1.54,2.4,15,1
1.54,1.8,16,1
1.54,1.2,17,1
1.54,0.9,18,1
1.54,0.72,19,1
1.54,0.6,20,1
1.54,0.48,21,1
1.54,0.36,22,1
1.54,0.24,23,1
1.57,0.0,0,1
1.57,0.0,1,1
1.57,0.0,2,1
1.57,0.0,3,1
1.57,0.0,4,1
1.57,0.0,5,1
1.57,0.0,6,1
1.57,0.0,7,1
1.57,0.0,8,1
1.57,0.0,9,1
1.57,0.0,10,1
1.57,0.0,11,1
1.57,0.0,12,1
1.57,0.0,13,1
1.57,0.0,14,1
1.57,0.0,15,1
1.57,0.0,16,1
1.57,0.0,17,1
1.57,0.0,18,1
1.57,0.0,19,1
1.57,0.0,20,1
1.57,0.0,21,1
1.57,0.0,22,1
1.57,0.0,23,1
1.57,0.01,0,1
1.57,0.01,1,1
1.57,0.01,2,1
1.57,0.01,3,1
1.57,0.01,4,1
1.57,0.01,5,1
1.57,0.01,6,1
1.57,0.02,7,1
1.57,0.03,8,1
1.57,0.03,9,1
1.57,0.03,10,1
1.57,0.03,11,1
1.57,0.04,12,1
1.57,0.04,13,1
1.57,0.1,14,1
1.57,0.12,15,1
1.57,0.09,16,1
1.57,0.06,17,1
1.57,0.04,18,1
1.57,0.03,19,1
1.57,0.03,20,1
1.57,0.02,21,1
1.57,0.02,22,1
1.57,0.01,23,1
1.56,0.06,0,1
1.56,0.06,1,1
1.56,0.06,2,1
1.56,0.06,3,1
1.56,0.06,4,1
1.56,0.1,5,1
1.56,0.16,6,1
1.56,0.22,7,1
1.56,0.29,8,1
1.56,0.32,9,1
1.56,0.35,10,1
1.56,0.38,11,1
1.56,0.42,12,1
1.56,0.48,13,1
1.56,1.12,14,1
1.56,1.28,15,1
1.56,0.96,16,1
1.56,0.64,17,1
1.56,0.48,18,1
1.56,0.38,19,1
1.56,0.32,20,1
1.56,0.26,21,1
1.56,0.19,22,1
1.56,0.13,23,1
1.56,0.01,0,1
1.56,0.01,1,1
1.56,0.01,2,1
1.56,0.01,3,1
1.56,0.01,4,1
1.56,0.02,5,1
1.56,0.03,6,1
1.56,0.04,7,1
1.56,0.05,8,1
1.56,0.05,9,1
1.56,0.06,10,1
1.56,0.06,11,1
1.56,0.07,12,1
1.56,0.08,13,1
1.56,0.18,14,1
1.56,0.2,15,1
1.56,0.15,16,1
1.56,0.1,17,1
1.56,0.08,18,1
1.56,0.06,19,1
1.56,0.05,20,1
1.56,0.04,21,1
1.56,0.03,22,1
1.56,0.02,23,1
1.56,0.0,0,1
1.56,0.0,1,1
1.56,0.0,2,1
1.56,0.0,3,1
1.56,0.0,4,1
1.56,0.01,5,1
1.56,0.01,6,1
1.56,0.02,7,1
1.56,0.02,8,1
1.56,0.02,9,1
1.56,0.02,10,1
1.56,0.03,11,1
1.56,0.03,12,1
1.56,0.03,13,1
1.56,0.08,14,1
1.56,0.09,15,1
1.56,0.07,16,1
1.56,0.04,17,1
1.56,0.03,18,1
1.56,0.03,19,1
1.56,0.02,20,1
1.56,0.02,21,1
1.56,0.01,22,1
1.56,0.01,23,1
1.57,0.05,0,1
1.57,0.05,1,1
1.57,0.05,2,1
1.57,0.05,3,1
1.57,0.05,4,1
1.57,0.08,5,1
1.57,0.13,6,1
1.57,0.18,7,1
1.57,0.23,8,1
1.57,0.25,9,1
1.57,0.28,10,1
1.57,0.3,11,1
1.57,0.33,12,1
1.57,0.38,13,1
1.57,0.88,14,1
1.57,1.0,15,1
1.57,0.75,16,1
1.57,0.5,17,1
1.57,0.38,18,1
1.57,0.3,19,1
1.57,0.25,20,1
1.57,0.2,21,1
1.57,0.15,22,1
1.57,0.1,23,1
1.61,0.0,0,1
1.61,0.0,1,1
1.61,0.0,2,1
1.61,0.0,3,1
1.61,0.0,4,1
1.61,0.0,5,1
1.61,0.0,6,1
1.61,0.0,7,1
1.61,0.0,8,1
1.61,0.0,9,1
1.61,0.0,10,1
1.61,0.0,11,1
1.61,0.0,12,1
1.61,0.0,13,1
1.61,0.0,14,1
1.61,0.0,15,1
1.61,0.0,16,1
1.61,0.0,17,1
1.61,0.0,18,1
1.61,0.0,19,1
1.61,0.0,20,1
1.61,0.0,21,1
1.61,0.0,22,1
1.61,0.0,23,1
1.6,0.01,0,1
1.6,0.01,1,1
1.6,0.01,2,1
1.6,0.01,3,1
1.6,0.01,4,1
1.6,0.01,5,1
1.6,0.02,6,1
1.6,0.03,7,1
1.6,0.03,8,1
1.6,0.04,9,1
1.6,0.04,10,1
1.6,0.04,11,1
1.6,0.05,12,1
1.6,0.05,13,1
1.6,0.13,14,1
1.6,0.15,15,1
1.6,0.11,16,1
1.6,0.07,17,1
1.6,0.05,18,1
1.6,0.04,19,1
1.6,0.04,20,1
1.6,0.03,21,1
1.6,0.02,22,1
1.6,0.01,23,1
1.58,0.02,0,1
1.58,0.02,1,1
1.58,0.02,2,1
1.58,0.02,3,1
1.58,0.02,4,1
1.58,0.03,5,1
1.58,0.05,6,1
1.58,0.07,7,1
1.58,0.09,8,1
1.58,0.1,9,1
1.58,0.11,10,1
1.58,0.12,11,1
1.58,0.13,12,1
1.58,0.15,13,1
1.58,0.34,14,1
1.58,0.39,15,1
1.58,0.29,16,1
1.58,0.2,17,1
1.58,0.15,18,1
1.58,0.12,19,1
1.58,0.1,20,1
1.58,0.08,21,1
1.58,0.06,22,1
1.58,0.04,23,1
1.56,0.02,0,2
1.56,0.02,1,2
1.56,0.02,2,2
1.56,0.02,3,2
1.56,0.02,4,2
1.56,0.02,5,2
1.56,0.04,6,2
1.56,0.05,7,2
1.56,0.07,8,2
1.56,0.08,9,2
1.56,0.08,10,2
1.56,0.09,11,2
1.56,0.1,12,2
1.56,0.11,13,2
1.56,0.27,14,2
1.56,0.31,15,2
1.56,0.23,16,2
1.56,0.15,17,2
1.56,0.11,18,2
1.56,0.09,19,2
1.56,0.08,20,2
1.56,0.06,21,2
1.56,0.05,22,2
1.56,0.03,23,2
1.55,0.01,0,2
1.55,0.01,1,2
1.55,0.01,2,2
1.55,0.01,3,2
1.55,0.01,4,2
1.55,0.01,5,2
1.55,0.02,6,2
1.55,0.03,7,2
1.55,0.03,8,2
1.55,0.04,9,2
1.55,0.04,10,2
1.55,0.04,11,2
1.55,0.05,12,2
1.55,0.05,13,2
1.55,0.13,14,2
1.55,0.15,15,2
1.55,0.11,16,2
1.55,0.07,17,2
1.55,0.05,18,2
1.55,0.04,19,2
1.55,0.04,20,2
1.55,0.03,21,2
1.55,0.02,22,2
1.55,0.01,23,2
1.54,0.01,0,2
1.54,0.01,1,2
1.54,0.01,2,2
1.54,0.01,3,2
1.54,0.01,4,2
1.54,0.02,5,2
1.54,0.03,6,2
1.54,0.04,7,2
1.54,0.05,8,2
1.54,0.05,9,2
1.54,0.06,10,2
1.54,0.06,11,2
1.54,0.07,12,2
1.54,0.08,13,2
1.54,0.18,14,2
1.54,0.2,15,2
1.54,0.15,16,2
1.54,0.1,17,2
1.54,0.08,18,2
1.54,0.06,19,2
1.54,0.05,20,2
1.54,0.04,21,2
1.54,0.03,22,2
1.54,0.02,23,2
1.53,0.0,0,2
1.53,0.0,1,2
1.53,0.0,2,2
1.53,0.0,3,2
1.53,0.0,4,2
1.53,0.0,5,2
1.53,0.0,6,2
1.53,0.0,7,2
1.53,0.0,8,2
1.53,0.0,9,2
1.53,0.0,10,2
1.53,0.0,11,2
1.53,0.0,12,2
1.53,0.0,13,2
1.53,0.0,14,2
1.53,0.0,15,2
1.53,0.0,16,2
1.53,0.0,17,2
1.53,0.0,18,2
1.53,0.0,19,2
1.53,0.0,20,2
1.53,0.0,21,2
1.53,0.0,22,2
1.53,0.0,23,2
1.53,0.0,0,2
1.53,0.0,1,2
1.53,0.0,2,2
1.53,0.0,3,2
1.53,0.0,4,2
1.53,0.0,5,2
1.53,0.0,6,2
1.53,0.0,7,2
1.53,0.0,8,2
1.53,0.0,9,2
1.53,0.0,10,2
1.53,0.0,11,2
1.53,0.0,12,2
1.53,0.0,13,2
1.53,0.0,14,2
1.53,0.0,15,2
1.53,0.0,16,2
1.53,0.0,17,2
1.53,0.0,18,2
1.53,0.0,19,2
1.53,0.0,20,2
1.53,0.0,21,2
1.53,0.0,22,2
1.53,0.0,23,2
1.53,0.0,0,2
1.53,0.0,1,2
1.53,0.0,2,2
1.53,0.0,3,2
1.53,0.0,4,2
1.53,0.0,5,2
1.53,0.01,6,2
1.53,0.01,7,2
1.53,0.01,8,2
1.53,0.01,9,2
1.53,0.01,10,2
1.53,0.01,11,2
1.53,0.01,12,2
1.53,0.02,13,2
1.53,0.04,14,2
1.53,0.04,15,2
1.53,0.03,16,2
1.53,0.02,17,2
1.53,0.02,18,2
1.53,0.01,19,2
1.53,0.01,20,2
1.53,0.01,21,2
1.53,0.01,22,2
1.53,0.0,23,2
1.53,0.0,0,2
1.53,0.0,1,2
1.53,0.0,2,2
1.53,0.0,3,2
1.53,0.0,4,2
1.53,0.01,5,2
1.53,0.01,6,2
1.53,0.01,7,2
1.53,0.02,8,2
1.53,0.02,9,2
1.53,0.02,10,2
1.53,0.02,11,2
1.53,0.02,12,2
1.53,0.03,13,2
1.53,0.06,14,2
1.53,0.07,15,2
1.53,0.05,16,2
1.53,0.04,17,2
1.53,0.03,18,2
1.53,0.02,19,2
1.53,0.02,20,2
1.53,0.01,21,2
1.53,0.01,22,2
1.53,0.01,23,2
1.53,0.0,0,2
1.53,0.0,1,2
1.53,0.0,2,2
1.53,0.0,3,2
1.53,0.0,4,2
1.53,0.01,5,2
1.53,0.01,6,2
1.53,0.02,7,2
1.53,0.02,8,2
1.53,0.02,9,2
1.53,0.02,10,2
1.53,0.03,11,2
1.53,0.03,12,2
1.53,0.03,13,2
1.53,0.08,14,2
1.53,0.09,15,2
1.53,0.07,16,2
1.53,0.04,17,2
1.53,0.03,18,2
1.53,0.03,19,2
1.53,0.02,20,2
1.53,0.02,21,2
1.53,0.01,22,2
1.53,0.01,23,2
1.53,0.01,0,2
1.53,0.01,1,2
1.53,0.01,2,2
1.53,0.01,3,2
1.53,0.01,4,2
1.53,0.01,5,2
1.53,0.02,6,2
1.53,0.03,7,2
1.53,0.03,8,2
1.53,0.04,9,2
1.53,0.04,10,2
1.53,0.04,11,2
1.53,0.05,12,2
1.53,0.05,13,2
1.53,0.13,14,2
1.53,0.15,15,2
1.53,0.11,16,2
1.53,0.07,17,2
1.53,0.05,18,2
1.53,0.04,19,2
1.53,0.04,20,2
1.53,0.03,21,2
1.53,0.02,22,2
1.53,0.01,23,2
1.53,0.04,0,2
1.53,0.04,1,2
1.53,0.04,2,2
1.53,0.04,3,2
1.53,0.04,4,2
1.53,0.05,5,2
1.53,0.09,6,2
1.53,0.12,7,2
1.53,0.16,8,2
1.53,0.18,9,2
1.53,0.2,10,2
1.53,0.21,11,2
1.53,0.23,12,2
1.53,0.27,13,2
1.53,0.62,14,2
1.53,0.71,15,2
1.53,0.53,16,2
1.53,0.36,17,2
1.53,0.27,18,2
1.53,0.21,19,2
1.53,0.18,20,2
1.53,0.14,21,2
1.53,0.11,22,2
1.53,0.07,23,2
1.54,0.12,0,2
1.54,0.12,1,2
1.54,0.12,2,2
1.54,0.12,3,2
1.54,0.12,4,2
1.54,0.18,5,2
1.54,0.29,6,2
1.54,0.41,7,2
1.54,0.53,8,2
1.54,0.59,9,2
1.54,0.64,10,2
1.54,0.7,11,2
1.54,0.76,12,2
1.54,0.88,13,2
1.54,2.05,14,2
1.54,2.34,15,2
1.54,1.76,16,2
1.54,1.17,17,2
1.54,0.88,18,2
1.54,0.7,19,2
1.54,0.59,20,2
1.54,0.47,21,2
1.54,0.35,22,2
1.54,0.23,23,2
1.55,0.05,0,2
1.55,0.05,1,2
1.55,0.05,2,2
1.55,0.05,3,2
1.55,0.05,4,2
1.55,0.07,5,2
1.55,0.11,6,2
1.55,0.16,7,2
1.55,0.2,8,2
1.55,0.23,9,2
1.55,0.25,10,2
1.55,0.27,11,2
1.55,0.29,12,2
1.55,0.34,13,2
1.55,0.79,14,2
1.55,0.9,15,2
1.55,0.68,16,2
1.55,0.45,17,2
1.55,0.34,18,2
1.55,0.27,19,2
1.55,0.23,20,2
1.55,0.18,21,2
1.55,0.14,22,2
1.55,0.09,23,2
1.6,0.03,0,2
1.6,0.03,1,2
1.6,0.03,2,2
1.6,0.03,3,2
1.6,0.03,4,2
1.6,0.04,5,2
1.6,0.06,6,2
1.6,0.09,7,2
1.6,0.11,8,2
1.6,0.13,9,2
1.6,0.14,10,2
1.6,0.15,11,2
1.6,0.17,12,2
1.6,0.19,13,2
1.6,0.45,14,2
1.6,0.51,15,2
1.6,0.38,16,2
1.6,0.25,17,2
1.6,0.19,18,2
1.6,0.15,19,2
1.6,0.13,20,2
1.6,0.1,21,2
1.6,0.08,22,2
1.6,0.05,23,2
1.6,0.01,0,2
1.6,0.01,1,2
1.6,0.01,2,2
1.6,0.01,3,2
1.6,0.01,4,2
1.6,0.02,5,2
1.6,0.03,6,2
1.6,0.04,7,2
1.6,0.06,8,2
1.6,0.06,9,2
1.6,0.07,10,2
1.6,0.07,11,2
1.6,0.08,12,2
1.6,0.09,13,2
1.6,0.22,14,2
1.6,0.25,15,2
1.6,0.19,16,2
1.6,0.12,17,2
1.6,0.09,18,2
1.6,0.07,19,2
1.6,0.06,20,2
1.6,0.05,21,2
1.6,0.04,22,2
1.6,0.02,23,2
1.58,0.01,0,2
1.58,0.01,1,2
1.58,0.01,2,2
1.58,0.01,3,2
1.58,0.01,4,2
1.58,0.01,5,2
1.58,0.01,6,2
1.58,0.02,7,2
1.58,0.03,8,2
1.58,0.03,9,2
1.58,0.03,10,2
1.58,0.03,11,2
1.58,0.04,12,2
1.58,0.04,13,2
1.58,0.1,14,2
1.58,0.12,15,2
1.58,0.09,16,2
1.58,0.06,17,2
1.58,0.04,18,2
1.58,0.03,19,2
1.58,0.03,20,2
1.58,0.02,21,2
1.58,0.02,22,2
1.58,0.01,23,2
1.56,0.0,0,2
1.56,0.0,1,2
1.56,0.0,2,2
1.56,0.0,3,2
1.56,0.0,4,2
1.56,0.0,5,2
1.56,0.01,6,2
1.56,0.01,7,2
1.56,0.01,8,2
1.56,0.01,9,2
1.56,0.02,10,2
1.56,0.02,11,2
1.56,0.02,12,2
1.56,0.02,13,2
1.56,0.05,14,2
1.56,0.06,15,2
1.56,0.04,16,2
1.56,0.03,17,2
1.56,0.02,18,2
1.56,0.02,19,2
1.56,0.01,20,2
1.56,0.01,21,2
1.56,0.01,22,2
1.56,0.01,23,2
1.55,0.0,0,2
1.55,0.0,1,2
1.55,0.0,2,2
1.55,0.0,3,2
1.55,0.0,4,2
1.55,0.0,5,2
1.55,0.01,6,2
1.55,0.01,7,2
1.55,0.01,8,2
1.55,0.01,9,2
1.55,0.01,10,2
1.55,0.01,11,2
1.55,0.01,12,2
1.55,0.02,13,2
1.55,0.04,14,2
1.55,0.04,15,2
1.55,0.03,16,2
1.55,0.02,17,2
1.55,0.02,18,2
1.55,0.01,19,2
1.55,0.01,20,2
1.55,0.01,21,2
1.55,0.01,22,2
1.55,0.0,23,2
1.54,0.0,0,2
1.54,0.0,1,2
1.54,0.0,2,2
1.54,0.0,3,2
1.54,0.0,4,2
1.54,0.0,5,2
1.54,0.0,6,2
1.54,0.0,7,2
1.54,0.0,8,2
1.54,0.0,9,2
1.54,0.0,10,2
